address,slots,name,bikes,status,zip,id,lon,lat,stationType,addressNumber,nearbyStations,district
398 - Sanchez Azcona-Felix Cuevas,9,398 SANCHEZ AZCONA-FELIX CUEVAS,18,OPN,3104,398,-99.16566,19.37103,BIKE,S/N,"397,399,400",DVS
399 - Heriberto Frías-San Lorenzo,27,399 HERIBERTO FRÍAS-SAN LORENZO,9,OPN,3104,399,-99.164519,19.372407,BIKE,S/N,"397,398,400",DVS
400 - San Lorenzo-Heriberto Frias,17,400 SAN LORENZO-HERIBERTO FRIAS,12,OPN,3104,400,-99.1642743,19.3726458,BIKE,S/N,"397,398,399",DVS
401 - San Lorenzo-Avenida Cuauhtemoc,28,401 SAN LORENZO-AVENIDA CUAUHTEMOC,5,OPN,3310,401,-99.16158,19.372147,BIKE,S/N,"400,402,403",SCA
402 - Uxmal-Municipio Libre,17,402 UXMAL-MUNICIPIO LIBRE,12,OPN,3310,402,-99.1587223,19.3709452,"BIKE,TPV",S/N,"401,403,405",1
403 - Uxmal-Municipio Libre,23,403 UXMAL-MUNICIPIO LIBRE,7,OPN,3310,403,-99.158639,19.371371,BIKE,S/N,"401,402,405",SCA
404 - Miguel Laurent-Avenida División Del Norte,20,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,10,OPN,3650,404,-99.157387,19.373813,BIKE,S/N,"402,403,405",LEV
405 - División Del Norte-Municipio Libre,26,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,4,OPN,3303,405,-99.156626,19.370619,BIKE,S/N,"402,403,404",PON
406 - Parroquia Av. Mexico-Coyoacan,17,406 PARROQUIA AV. MEXICO-COYOACAN,4,OPN,3310,406,-99.163261,19.367831,BIKE,S/N,"402,407,411",SCA
407 - Prolongación Xochicalco-General Emiliano Zapat,10,407 PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA,11,OPN,3320,407,-99.158694,19.367294,BIKE,S/N,"406,408,410",REE
408 - Prolongación Petén-General Emiliano Zapata,14,408 PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA,13,OPN,3320,408,-99.156843,19.36677,BIKE,S/N,"407,409,410",REE
409 - Azores-División Del Norte,14,409 AZORES-DIVISIÓN DEL NORTE,10,OPN,3310,409,-99.155499,19.365102,BIKE,S/N,"408,410,430",SCA
410 - Prolongación Tajín-Prolongación Repúblicas,19,410 PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS,5,OPN,3310,410,-99.158063,19.36564,BIKE,S/N,"407,408,409",SCA
411 - Parroquia-Avenida México-Coyoacan,32,411 PARROQUIA-AVENIDA MÉXICO-COYOACAN,4,OPN,3310,411,-99.163626,19.367864,BIKE,S/N,"412,425,427",SCA
412 - Parroquia-Avenida Universidad,22,412 PARROQUIA-AVENIDA UNIVERSIDAD,13,OPN,3310,412,-99.1654145,19.3684182,"BIKE,TPV",S/N,"411,425,426",SCA
413 - Parroquia-Avenida Coyoacán,27,413 PARROQUIA-AVENIDA COYOACÁN,9,OPN,3104,413,-99.171906,19.369782,BIKE,S/N,"396,414,424",DVS
414 - Parroquia-José Ignacio Bartolache,20,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,10,OPN,3104,414,-99.173712,19.370187,BIKE,S/N,"413,415,423",DVS
415 - San Francisco-Parroquía,27,415 SAN FRANCISCO-PARROQUÍA,3,OPN,3104,415,-99.17602,19.371498,BIKE,S/N,"391,414,416",DVS
416 - Recreo-Parroquía,11,416 RECREO-PARROQUÍA,18,OPN,3104,416,-99.177607,19.371308,BIKE,S/N,"390,391,415",1
